exported_fun,type,argument,default_or_fixed,object,expected_object,fun_prefix,expected_type
geom_abline,stat,StatIdentity,fixed,StatIdentity,GeomAbline,geom_,geom
geom_abline,geom,GeomAbline,fixed,GeomAbline,GeomAbline,geom_,geom
geom_abline,position,PositionIdentity,fixed,PositionIdentity,GeomAbline,geom_,geom
geom_area,stat,"""align""",default,StatAlign,GeomArea,geom_,geom
geom_area,position,"""stack""",default,PositionStack,GeomArea,geom_,geom
geom_area,geom,GeomArea,fixed,GeomArea,GeomArea,geom_,geom
geom_bar,stat,"""count""",default,StatCount,GeomBar,geom_,geom
geom_bar,position,"""stack""",default,PositionStack,GeomBar,geom_,geom
geom_bar,geom,GeomBar,fixed,GeomBar,GeomBar,geom_,geom
geom_bin2d,stat,"""bin2d""",default,StatBin2d,GeomBin2d,geom_,geom
geom_bin2d,position,"""identity""",default,PositionIdentity,GeomBin2d,geom_,geom
geom_bin2d,geom,GeomTile,fixed,GeomTile,GeomBin2d,geom_,geom
geom_bin_2d,stat,"""bin2d""",default,StatBin2d,GeomBin2d,geom_,geom
geom_bin_2d,position,"""identity""",default,PositionIdentity,GeomBin2d,geom_,geom
geom_bin_2d,geom,GeomTile,fixed,GeomTile,GeomBin2d,geom_,geom
geom_blank,stat,"""identity""",default,StatIdentity,GeomBlank,geom_,geom
geom_blank,position,"""identity""",default,PositionIdentity,GeomBlank,geom_,geom
geom_blank,geom,GeomBlank,fixed,GeomBlank,GeomBlank,geom_,geom
geom_boxplot,stat,"""boxplot""",default,StatBoxplot,GeomBoxplot,geom_,geom
geom_boxplot,position,"""dodge2""",default,PositionDodge2,GeomBoxplot,geom_,geom
geom_boxplot,geom,GeomBoxplot,fixed,GeomBoxplot,GeomBoxplot,geom_,geom
geom_col,position,"""stack""",default,PositionStack,GeomCol,geom_,geom
geom_col,stat,"""identity""",default,StatIdentity,GeomCol,geom_,geom
geom_col,geom,GeomCol,fixed,GeomCol,GeomCol,geom_,geom
geom_contour,stat,"""contour""",default,StatContour,GeomContour,geom_,geom
geom_contour,position,"""identity""",default,PositionIdentity,GeomContour,geom_,geom
geom_contour,geom,GeomContour,fixed,GeomContour,GeomContour,geom_,geom
geom_contour_filled,stat,"""contour_filled""",default,StatContourFilled,GeomContourFilled,geom_,geom
geom_contour_filled,position,"""identity""",default,PositionIdentity,GeomContourFilled,geom_,geom
geom_contour_filled,geom,GeomContourFilled,fixed,GeomContourFilled,GeomContourFilled,geom_,geom
geom_count,stat,"""sum""",default,StatSum,GeomCount,geom_,geom
geom_count,position,"""identity""",default,PositionIdentity,GeomCount,geom_,geom
geom_count,geom,GeomPoint,fixed,GeomPoint,GeomCount,geom_,geom
geom_crossbar,stat,"""identity""",default,StatIdentity,GeomCrossbar,geom_,geom
geom_crossbar,position,"""identity""",default,PositionIdentity,GeomCrossbar,geom_,geom
geom_crossbar,geom,GeomCrossbar,fixed,GeomCrossbar,GeomCrossbar,geom_,geom
geom_curve,stat,"""identity""",default,StatIdentity,GeomCurve,geom_,geom
geom_curve,position,"""identity""",default,PositionIdentity,GeomCurve,geom_,geom
geom_curve,geom,GeomCurve,fixed,GeomCurve,GeomCurve,geom_,geom
geom_density,stat,"""density""",default,StatDensity,GeomDensity,geom_,geom
geom_density,position,"""identity""",default,PositionIdentity,GeomDensity,geom_,geom
geom_density,geom,GeomDensity,fixed,GeomDensity,GeomDensity,geom_,geom
geom_density2d,stat,"""density_2d""",default,StatDensity2d,GeomDensity2d,geom_,geom
geom_density2d,position,"""identity""",default,PositionIdentity,GeomDensity2d,geom_,geom
geom_density2d,geom,GeomDensity2d,fixed,GeomDensity2d,GeomDensity2d,geom_,geom
geom_density2d_filled,stat,"""density_2d_filled""",default,StatDensity2dFilled,GeomDensity2dFilled,geom_,geom
geom_density2d_filled,position,"""identity""",default,PositionIdentity,GeomDensity2dFilled,geom_,geom
geom_density2d_filled,geom,GeomDensity2dFilled,fixed,GeomDensity2dFilled,GeomDensity2dFilled,geom_,geom
geom_density_2d,stat,"""density_2d""",default,StatDensity2d,GeomDensity2d,geom_,geom
geom_density_2d,position,"""identity""",default,PositionIdentity,GeomDensity2d,geom_,geom
geom_density_2d,geom,GeomDensity2d,fixed,GeomDensity2d,GeomDensity2d,geom_,geom
geom_density_2d_filled,stat,"""density_2d_filled""",default,StatDensity2dFilled,GeomDensity2dFilled,geom_,geom
geom_density_2d_filled,position,"""identity""",default,PositionIdentity,GeomDensity2dFilled,geom_,geom
geom_density_2d_filled,geom,GeomDensity2dFilled,fixed,GeomDensity2dFilled,GeomDensity2dFilled,geom_,geom
geom_dotplot,position,"""identity""",default,PositionIdentity,GeomDotplot,geom_,geom
geom_dotplot,stat,StatBindot,fixed,StatBindot,GeomDotplot,geom_,geom
geom_dotplot,geom,GeomDotplot,fixed,GeomDotplot,GeomDotplot,geom_,geom
geom_errorbar,stat,"""identity""",default,StatIdentity,GeomErrorbar,geom_,geom
geom_errorbar,position,"""identity""",default,PositionIdentity,GeomErrorbar,geom_,geom
geom_errorbar,geom,GeomErrorbar,fixed,GeomErrorbar,GeomErrorbar,geom_,geom
geom_errorbarh,stat,"""identity""",default,StatIdentity,GeomErrorbarh,geom_,geom
geom_errorbarh,position,"""identity""",default,PositionIdentity,GeomErrorbarh,geom_,geom
geom_freqpoly,stat,"""bin""",default,StatBin,GeomFreqpoly,geom_,geom
geom_freqpoly,position,"""identity""",default,PositionIdentity,GeomFreqpoly,geom_,geom
geom_freqpoly,geom,GeomPath,fixed,GeomPath,GeomFreqpoly,geom_,geom
geom_function,stat,"""function""",default,StatFunction,GeomFunction,geom_,geom
geom_function,position,"""identity""",default,PositionIdentity,GeomFunction,geom_,geom
geom_function,geom,GeomFunction,fixed,GeomFunction,GeomFunction,geom_,geom
geom_hex,stat,"""binhex""",default,StatBinhex,GeomHex,geom_,geom
geom_hex,position,"""identity""",default,PositionIdentity,GeomHex,geom_,geom
geom_hex,geom,GeomHex,fixed,GeomHex,GeomHex,geom_,geom
geom_histogram,stat,"""bin""",default,StatBin,GeomHistogram,geom_,geom
geom_histogram,position,"""stack""",default,PositionStack,GeomHistogram,geom_,geom
geom_histogram,geom,GeomBar,fixed,GeomBar,GeomHistogram,geom_,geom
geom_hline,position,"""identity""",default,PositionIdentity,GeomHline,geom_,geom
geom_hline,stat,StatIdentity,fixed,StatIdentity,GeomHline,geom_,geom
geom_hline,geom,GeomHline,fixed,GeomHline,GeomHline,geom_,geom
geom_jitter,stat,"""identity""",default,StatIdentity,GeomJitter,geom_,geom
geom_jitter,position,"""jitter""",default,PositionJitter,GeomJitter,geom_,geom
geom_jitter,geom,GeomPoint,fixed,GeomPoint,GeomJitter,geom_,geom
geom_label,stat,"""identity""",default,StatIdentity,GeomLabel,geom_,geom
geom_label,position,"""identity""",default,PositionIdentity,GeomLabel,geom_,geom
geom_label,geom,GeomLabel,fixed,GeomLabel,GeomLabel,geom_,geom
geom_line,stat,"""identity""",default,StatIdentity,GeomLine,geom_,geom
geom_line,position,"""identity""",default,PositionIdentity,GeomLine,geom_,geom
geom_line,geom,GeomLine,fixed,GeomLine,GeomLine,geom_,geom
geom_linerange,stat,"""identity""",default,StatIdentity,GeomLinerange,geom_,geom
geom_linerange,position,"""identity""",default,PositionIdentity,GeomLinerange,geom_,geom
geom_linerange,geom,GeomLinerange,fixed,GeomLinerange,GeomLinerange,geom_,geom
geom_map,stat,"""identity""",default,StatIdentity,GeomMap,geom_,geom
geom_map,geom,GeomMap,fixed,GeomMap,GeomMap,geom_,geom
geom_map,position,PositionIdentity,fixed,PositionIdentity,GeomMap,geom_,geom
geom_path,stat,"""identity""",default,StatIdentity,GeomPath,geom_,geom
geom_path,position,"""identity""",default,PositionIdentity,GeomPath,geom_,geom
geom_path,geom,GeomPath,fixed,GeomPath,GeomPath,geom_,geom
geom_point,stat,"""identity""",default,StatIdentity,GeomPoint,geom_,geom
geom_point,position,"""identity""",default,PositionIdentity,GeomPoint,geom_,geom
geom_point,geom,GeomPoint,fixed,GeomPoint,GeomPoint,geom_,geom
geom_pointrange,stat,"""identity""",default,StatIdentity,GeomPointrange,geom_,geom
geom_pointrange,position,"""identity""",default,PositionIdentity,GeomPointrange,geom_,geom
geom_pointrange,geom,GeomPointrange,fixed,GeomPointrange,GeomPointrange,geom_,geom
geom_polygon,stat,"""identity""",default,StatIdentity,GeomPolygon,geom_,geom
geom_polygon,position,"""identity""",default,PositionIdentity,GeomPolygon,geom_,geom
geom_polygon,geom,GeomPolygon,fixed,GeomPolygon,GeomPolygon,geom_,geom
geom_qq,geom,"""point""",default,GeomPoint,GeomQq,geom_,geom
geom_qq,position,"""identity""",default,PositionIdentity,GeomQq,geom_,geom
geom_qq,stat,StatQq,fixed,StatQq,GeomQq,geom_,geom
geom_qq_line,geom,"""path""",default,GeomPath,GeomQqLine,geom_,geom
geom_qq_line,position,"""identity""",default,PositionIdentity,GeomQqLine,geom_,geom
geom_qq_line,stat,StatQqLine,fixed,StatQqLine,GeomQqLine,geom_,geom
geom_quantile,stat,"""quantile""",default,StatQuantile,GeomQuantile,geom_,geom
geom_quantile,position,"""identity""",default,PositionIdentity,GeomQuantile,geom_,geom
geom_quantile,geom,GeomQuantile,fixed,GeomQuantile,GeomQuantile,geom_,geom
geom_raster,stat,"""identity""",default,StatIdentity,GeomRaster,geom_,geom
geom_raster,position,"""identity""",default,PositionIdentity,GeomRaster,geom_,geom
geom_raster,geom,GeomRaster,fixed,GeomRaster,GeomRaster,geom_,geom
geom_rect,stat,"""identity""",default,StatIdentity,GeomRect,geom_,geom
geom_rect,position,"""identity""",default,PositionIdentity,GeomRect,geom_,geom
geom_rect,geom,GeomRect,fixed,GeomRect,GeomRect,geom_,geom
geom_ribbon,stat,"""identity""",default,StatIdentity,GeomRibbon,geom_,geom
geom_ribbon,position,"""identity""",default,PositionIdentity,GeomRibbon,geom_,geom
geom_ribbon,geom,GeomRibbon,fixed,GeomRibbon,GeomRibbon,geom_,geom
geom_rug,stat,"""identity""",default,StatIdentity,GeomRug,geom_,geom
geom_rug,position,"""identity""",default,PositionIdentity,GeomRug,geom_,geom
geom_rug,geom,GeomRug,fixed,GeomRug,GeomRug,geom_,geom
geom_segment,stat,"""identity""",default,StatIdentity,GeomSegment,geom_,geom
geom_segment,position,"""identity""",default,PositionIdentity,GeomSegment,geom_,geom
geom_segment,geom,GeomSegment,fixed,GeomSegment,GeomSegment,geom_,geom
geom_sf,stat,"""sf""",default,StatSf,GeomSf,geom_,geom
geom_sf,position,"""identity""",default,PositionIdentity,GeomSf,geom_,geom
geom_sf,geom,GeomSf,fixed,GeomSf,GeomSf,geom_,geom
geom_sf_label,stat,"""sf_coordinates""",default,StatSfCoordinates,GeomSfLabel,geom_,geom
geom_sf_label,position,"""identity""",default,PositionIdentity,GeomSfLabel,geom_,geom
geom_sf_label,geom,GeomLabel,fixed,GeomLabel,GeomSfLabel,geom_,geom
geom_sf_text,stat,"""sf_coordinates""",default,StatSfCoordinates,GeomSfText,geom_,geom
geom_sf_text,position,"""identity""",default,PositionIdentity,GeomSfText,geom_,geom
geom_sf_text,geom,GeomText,fixed,GeomText,GeomSfText,geom_,geom
geom_smooth,stat,"""smooth""",default,StatSmooth,GeomSmooth,geom_,geom
geom_smooth,position,"""identity""",default,PositionIdentity,GeomSmooth,geom_,geom
geom_smooth,geom,GeomSmooth,fixed,GeomSmooth,GeomSmooth,geom_,geom
geom_spoke,stat,"""identity""",default,StatIdentity,GeomSpoke,geom_,geom
geom_spoke,position,"""identity""",default,PositionIdentity,GeomSpoke,geom_,geom
geom_spoke,geom,GeomSpoke,fixed,GeomSpoke,GeomSpoke,geom_,geom
geom_step,stat,"""identity""",default,StatIdentity,GeomStep,geom_,geom
geom_step,position,"""identity""",default,PositionIdentity,GeomStep,geom_,geom
geom_step,geom,GeomStep,fixed,GeomStep,GeomStep,geom_,geom
geom_text,stat,"""identity""",default,StatIdentity,GeomText,geom_,geom
geom_text,position,"""identity""",default,PositionIdentity,GeomText,geom_,geom
geom_text,geom,GeomText,fixed,GeomText,GeomText,geom_,geom
geom_tile,stat,"""identity""",default,StatIdentity,GeomTile,geom_,geom
geom_tile,position,"""identity""",default,PositionIdentity,GeomTile,geom_,geom
geom_tile,geom,GeomTile,fixed,GeomTile,GeomTile,geom_,geom
geom_violin,stat,"""ydensity""",default,StatYdensity,GeomViolin,geom_,geom
geom_violin,position,"""dodge""",default,PositionDodge,GeomViolin,geom_,geom
geom_violin,geom,GeomViolin,fixed,GeomViolin,GeomViolin,geom_,geom
geom_vline,position,"""identity""",default,PositionIdentity,GeomVline,geom_,geom
geom_vline,stat,StatIdentity,fixed,StatIdentity,GeomVline,geom_,geom
geom_vline,geom,GeomVline,fixed,GeomVline,GeomVline,geom_,geom
stat_align,geom,"""area""",default,GeomArea,StatAlign,stat_,stat
stat_align,position,"""identity""",default,PositionIdentity,StatAlign,stat_,stat
stat_align,stat,StatAlign,fixed,StatAlign,StatAlign,stat_,stat
stat_bin,geom,"""bar""",default,GeomBar,StatBin,stat_,stat
stat_bin,position,"""stack""",default,PositionStack,StatBin,stat_,stat
stat_bin,stat,StatBin,fixed,StatBin,StatBin,stat_,stat
stat_bin2d,geom,"""tile""",default,GeomTile,StatBin2d,stat_,stat
stat_bin2d,position,"""identity""",default,PositionIdentity,StatBin2d,stat_,stat
stat_bin2d,stat,StatBin2d,fixed,StatBin2d,StatBin2d,stat_,stat
stat_bin_2d,geom,"""tile""",default,GeomTile,StatBin2d,stat_,stat
stat_bin_2d,position,"""identity""",default,PositionIdentity,StatBin2d,stat_,stat
stat_bin_2d,stat,StatBin2d,fixed,StatBin2d,StatBin2d,stat_,stat
stat_bin_hex,geom,"""hex""",default,GeomHex,StatBinHex,stat_,stat
stat_bin_hex,position,"""identity""",default,PositionIdentity,StatBinHex,stat_,stat
stat_bin_hex,stat,StatBinhex,fixed,StatBinhex,StatBinHex,stat_,stat
stat_binhex,geom,"""hex""",default,GeomHex,StatBinhex,stat_,stat
stat_binhex,position,"""identity""",default,PositionIdentity,StatBinhex,stat_,stat
stat_binhex,stat,StatBinhex,fixed,StatBinhex,StatBinhex,stat_,stat
stat_boxplot,geom,"""boxplot""",default,GeomBoxplot,StatBoxplot,stat_,stat
stat_boxplot,position,"""dodge2""",default,PositionDodge2,StatBoxplot,stat_,stat
stat_boxplot,stat,StatBoxplot,fixed,StatBoxplot,StatBoxplot,stat_,stat
stat_contour,geom,"""contour""",default,GeomContour,StatContour,stat_,stat
stat_contour,position,"""identity""",default,PositionIdentity,StatContour,stat_,stat
stat_contour,stat,StatContour,fixed,StatContour,StatContour,stat_,stat
stat_contour_filled,geom,"""contour_filled""",default,GeomContourFilled,StatContourFilled,stat_,stat
stat_contour_filled,position,"""identity""",default,PositionIdentity,StatContourFilled,stat_,stat
stat_contour_filled,stat,StatContourFilled,fixed,StatContourFilled,StatContourFilled,stat_,stat
stat_count,geom,"""bar""",default,GeomBar,StatCount,stat_,stat
stat_count,position,"""stack""",default,PositionStack,StatCount,stat_,stat
stat_count,stat,StatCount,fixed,StatCount,StatCount,stat_,stat
stat_density,geom,"""area""",default,GeomArea,StatDensity,stat_,stat
stat_density,position,"""stack""",default,PositionStack,StatDensity,stat_,stat
stat_density,stat,StatDensity,fixed,StatDensity,StatDensity,stat_,stat
stat_density2d,geom,"""density_2d""",default,GeomDensity2d,StatDensity2d,stat_,stat
stat_density2d,position,"""identity""",default,PositionIdentity,StatDensity2d,stat_,stat
stat_density2d,stat,StatDensity2d,fixed,StatDensity2d,StatDensity2d,stat_,stat
stat_density2d_filled,geom,"""density_2d_filled""",default,GeomDensity2dFilled,StatDensity2dFilled,stat_,stat
stat_density2d_filled,position,"""identity""",default,PositionIdentity,StatDensity2dFilled,stat_,stat
stat_density2d_filled,stat,StatDensity2dFilled,fixed,StatDensity2dFilled,StatDensity2dFilled,stat_,stat
stat_density_2d,geom,"""density_2d""",default,GeomDensity2d,StatDensity2d,stat_,stat
stat_density_2d,position,"""identity""",default,PositionIdentity,StatDensity2d,stat_,stat
stat_density_2d,stat,StatDensity2d,fixed,StatDensity2d,StatDensity2d,stat_,stat
stat_density_2d_filled,geom,"""density_2d_filled""",default,GeomDensity2dFilled,StatDensity2dFilled,stat_,stat
stat_density_2d_filled,position,"""identity""",default,PositionIdentity,StatDensity2dFilled,stat_,stat
stat_density_2d_filled,stat,StatDensity2dFilled,fixed,StatDensity2dFilled,StatDensity2dFilled,stat_,stat
stat_ecdf,geom,"""step""",default,GeomStep,StatEcdf,stat_,stat
stat_ecdf,position,"""identity""",default,PositionIdentity,StatEcdf,stat_,stat
stat_ecdf,stat,StatEcdf,fixed,StatEcdf,StatEcdf,stat_,stat
stat_ellipse,geom,"""path""",default,GeomPath,StatEllipse,stat_,stat
stat_ellipse,position,"""identity""",default,PositionIdentity,StatEllipse,stat_,stat
stat_ellipse,stat,StatEllipse,fixed,StatEllipse,StatEllipse,stat_,stat
stat_function,geom,"""function""",default,GeomFunction,StatFunction,stat_,stat
stat_function,position,"""identity""",default,PositionIdentity,StatFunction,stat_,stat
stat_function,stat,StatFunction,fixed,StatFunction,StatFunction,stat_,stat
stat_identity,geom,"""point""",default,GeomPoint,StatIdentity,stat_,stat
stat_identity,position,"""identity""",default,PositionIdentity,StatIdentity,stat_,stat
stat_identity,stat,StatIdentity,fixed,StatIdentity,StatIdentity,stat_,stat
stat_qq,geom,"""point""",default,GeomPoint,StatQq,stat_,stat
stat_qq,position,"""identity""",default,PositionIdentity,StatQq,stat_,stat
stat_qq,stat,StatQq,fixed,StatQq,StatQq,stat_,stat
stat_qq_line,geom,"""path""",default,GeomPath,StatQqLine,stat_,stat
stat_qq_line,position,"""identity""",default,PositionIdentity,StatQqLine,stat_,stat
stat_qq_line,stat,StatQqLine,fixed,StatQqLine,StatQqLine,stat_,stat
stat_quantile,geom,"""quantile""",default,GeomQuantile,StatQuantile,stat_,stat
stat_quantile,position,"""identity""",default,PositionIdentity,StatQuantile,stat_,stat
stat_quantile,stat,StatQuantile,fixed,StatQuantile,StatQuantile,stat_,stat
stat_sf,geom,"""rect""",default,GeomRect,StatSf,stat_,stat
stat_sf,position,"""identity""",default,PositionIdentity,StatSf,stat_,stat
stat_sf,stat,StatSf,fixed,StatSf,StatSf,stat_,stat
stat_sf_coordinates,geom,"""point""",default,GeomPoint,StatSfCoordinates,stat_,stat
stat_sf_coordinates,position,"""identity""",default,PositionIdentity,StatSfCoordinates,stat_,stat
stat_sf_coordinates,stat,StatSfCoordinates,fixed,StatSfCoordinates,StatSfCoordinates,stat_,stat
stat_smooth,geom,"""smooth""",default,GeomSmooth,StatSmooth,stat_,stat
stat_smooth,position,"""identity""",default,PositionIdentity,StatSmooth,stat_,stat
stat_smooth,stat,StatSmooth,fixed,StatSmooth,StatSmooth,stat_,stat
stat_sum,geom,"""point""",default,GeomPoint,StatSum,stat_,stat
stat_sum,position,"""identity""",default,PositionIdentity,StatSum,stat_,stat
stat_sum,stat,StatSum,fixed,StatSum,StatSum,stat_,stat
stat_summary,geom,"""pointrange""",default,GeomPointrange,StatSummary,stat_,stat
stat_summary,position,"""identity""",default,PositionIdentity,StatSummary,stat_,stat
stat_summary,stat,StatSummary,fixed,StatSummary,StatSummary,stat_,stat
stat_summary_2d,geom,"""tile""",default,GeomTile,StatSummary2d,stat_,stat
stat_summary_2d,position,"""identity""",default,PositionIdentity,StatSummary2d,stat_,stat
stat_summary_2d,stat,StatSummary2d,fixed,StatSummary2d,StatSummary2d,stat_,stat
stat_summary_bin,geom,"""pointrange""",default,GeomPointrange,StatSummaryBin,stat_,stat
stat_summary_bin,position,"""identity""",default,PositionIdentity,StatSummaryBin,stat_,stat
stat_summary_bin,stat,StatSummaryBin,fixed,StatSummaryBin,StatSummaryBin,stat_,stat
stat_summary_hex,geom,"""hex""",default,GeomHex,StatSummaryHex,stat_,stat
stat_summary_hex,position,"""identity""",default,PositionIdentity,StatSummaryHex,stat_,stat
stat_summary_hex,stat,StatSummaryHex,fixed,StatSummaryHex,StatSummaryHex,stat_,stat
stat_unique,geom,"""point""",default,GeomPoint,StatUnique,stat_,stat
stat_unique,position,"""identity""",default,PositionIdentity,StatUnique,stat_,stat
stat_unique,stat,StatUnique,fixed,StatUnique,StatUnique,stat_,stat
stat_ydensity,geom,"""violin""",default,GeomViolin,StatYdensity,stat_,stat
stat_ydensity,position,"""dodge""",default,PositionDodge,StatYdensity,stat_,stat
stat_ydensity,stat,StatYdensity,fixed,StatYdensity,StatYdensity,stat_,stat
